 sin(alpha):  0.29999999999999999        tg(beta):   1.0000000000000000     
 rmh:   125.00000000000000     
   250.00000000000000        0.0000000000000000        0.0000000000000000       0.36359999999999998     
   251.00000000000000       0.14835708710174897        6.4411630780050896E-002  0.43416618672133228     
   252.00000000000000       0.19560286570685687        9.1428547717660666E-002  0.46741926498501007     
   253.00000000000000       0.22719408161271087       0.11239229905756848       0.49469730135470413     
   254.00000000000000       0.25100943971535372       0.13026311758817949       0.51895704693775135     
   255.00000000000000       0.27004131107061785       0.14618349007224832       0.54133750681583759     
   256.00000000000000       0.28579645760772315       0.16073741418969867       0.56241919698781817     
   257.00000000000000       0.29915437623825175       0.17427072899919394       0.58254447483128813     
   258.00000000000000       0.31067847486818911       0.18700809990993877       0.60193452407438364     
   259.00000000000000       0.32075372334839863       0.19910513955889275       0.62074147567299565     
   260.00000000000000       0.32965597987392492       0.21067484386812099       0.63907484386812097     
   261.00000000000000       0.33758963156556726       0.22180229722115785       0.65701750433670836     
   262.00000000000000       0.34470833806233026       0.23255344078867729       0.67463828144077820     
   263.00000000000000       0.35113124671300794       0.24298059294320726       0.69199364971868749     
   264.00000000000000       0.35695295295864404       0.25312608038386480       0.70913009203538246     
   265.00000000000000       0.36224979646299782       0.26302471426631752       0.72608657571236013     
   266.00000000000000       0.36708425278664875       0.27270553057835789       0.74289629290324188     
   267.00000000000000       0.37150807621177484       0.28219304529273248       0.75958791574660378     
   268.00000000000000       0.37556459906803069       0.29150817989830996       0.77618652189714354     
   269.00000000000000       0.37929044659570760       0.30066895720063841       0.79271429032623852     
   270.00000000000000       0.38271683769139697       0.30969103338555215       0.80919103338555209     
   271.00000000000000       0.38587109264704217       0.31858811105508367       0.82563352665159995     
   272.00000000000000       0.38877888423829249       0.32737226420581028       0.84205258433005703     
   273.00000000000000       0.39146324893086420       0.33605419703139222       0.85845656763233547     
   274.00000000000000       0.39394455959357111       0.34464345228636234       0.87485267633071961     
   275.00000000000000       0.39624092297900654       0.35314858071150823       0.89124711818374847     
   276.00000000000000       0.39836850450588734       0.36157728004775719       0.90764524795010137     
   277.00000000000000       0.40034179591029589       0.36993651004485589       0.92405168239727620     
   278.00000000000000       0.40217383755410002       0.37823258833636048       0.94047039617658124     
   279.00000000000000       0.40387640441728806       0.38647127092666322       0.95690480231015995     
   280.00000000000000       0.40546016275777402       0.39465782019973789       0.97335782019973793     
   281.00000000000000       0.40693465497778403       0.40279706273128368       0.98983229322966793     
   282.00000000000000       0.40830798455031420       0.41089343870923228        1.0063321175601441     
   283.00000000000000       0.40958738317859422       0.41895104440214886        1.0228612052228956     
   284.00000000000000       0.41077944464905969       0.42697366883234689        1.0394231610034002     
   285.00000000000000       0.41189019550883760       0.43496482558998284        1.0560213142549788     
   286.00000000000000       0.41292515625122939       0.44292778055094018        1.0726587466166793     
   287.00000000000000       0.41388939450113965       0.45086557612387607        1.0893383162603230     
   288.00000000000000       0.41478757142521860       0.45878105254215379        1.1060626791824371     
   289.00000000000000       0.41562398237774323       0.46667686662832364        1.1228343079687364     
   290.00000000000000       0.41640259262118673       0.47455550838762262        1.1396555083876225     
   291.00000000000000       0.41712687260579323       0.48241931572912444        1.1565289781390709     
   292.00000000000000       0.41779925732789652       0.49027048756586444        1.1734594520379704     
   293.00000000000000       0.41842179386802608       0.49811109550639943        1.1904520816224693     
   294.00000000000000       0.41899636239786342       0.50594309431816775        1.2075119015895965     
