 sin(alpha):  0.20000000000000001        tg(beta):   1.0000000000000000     
 rmh:   125.00000000000000     
   250.00000000000000        0.0000000000000000        0.0000000000000000       0.16160000000000002     
   251.00000000000000       0.13992012678130689        2.6734521838539339E-002  0.19106988003466441     
   252.00000000000000       0.18506292387480802        3.7948092231516142E-002  0.20505507768367148     
   253.00000000000000       0.21540771429200203        4.6649251652992142E-002  0.21656258600727468     
   254.00000000000000       0.23836866232075757        5.4066666528119998E-002  0.22681952401681862     
   255.00000000000000       0.25677066785927799        6.0674534403821111E-002  0.23629854184541638     
   256.00000000000000       0.27204010758241237        6.6715247819121373E-002  0.24524048461828563     
   257.00000000000000       0.28501164617284136        7.2332349822915643E-002  0.25378734797051306     
   258.00000000000000       0.29622120574579991        7.7619089448274559E-002  0.26203083352136114     
   259.00000000000000       0.30603575981713210        8.2640054866476645E-002  0.27003398202830020     
   260.00000000000000       0.31471879687071630        8.7442145867350690E-002  0.27784214586735073     
   261.00000000000000       0.32246589211689597        9.2060677351050196E-002  0.28548965829129491     
   262.00000000000000       0.32942428509881000        9.6523018686213824E-002  0.29300517008714760     
   263.00000000000000       0.33570830470071417       0.10085088499875862       0.30041224356563878     
   264.00000000000000       0.34140884525432708       0.10506184429694933       0.30773029391984613     
   265.00000000000000       0.34659935350118187       0.10917034520737963       0.31497561696117637     
   266.00000000000000       0.35134000957599876       0.11318843933067402       0.32216211147506701     
   267.00000000000000       0.35568072247825672       0.11712630220191601       0.32930180018141442     
   268.00000000000000       0.35966332400906431       0.12099261743917712       0.33640521388310318     
   269.00000000000000       0.36332320677205882       0.12479486554066355       0.34348168026315251     
   270.00000000000000       0.36669056788930748       0.12853954472163603       0.35053954472163606     
   271.00000000000000       0.36979186538151798       0.13223234234800724       0.35758586039090340     
   272.00000000000000       0.37265201362776140       0.13587826982099879       0.36462507876510852     
   273.00000000000000       0.37529339800795081       0.13948176999504094       0.37166060137323798     
   274.00000000000000       0.37773583577640890       0.14304680366069850       0.37869534768041285     
   275.00000000000000       0.37999695698028330       0.14657691986592378       0.38573182540914175     
   276.00000000000000       0.38209251599004107       0.15007531361479343       0.39277218823805754     
   277.00000000000000       0.38403664846020941       0.15354487360270827       0.39981828353711735     
   278.00000000000000       0.38584208494850841       0.15698822201001414       0.40687169216122343     
   279.00000000000000       0.38752032979655243       0.16040774790873519       0.41393376185695602     
   280.00000000000000       0.38908181193207514       0.16380563549010471       0.42100563549010472     
   281.00000000000000       0.39053586691776226       0.16718388805992118       0.42808843494809201     
   282.00000000000000       0.39189042351356157       0.17054434855089406       0.43518376137352155     
   283.00000000000000       0.39315256067240084       0.17388871714946608       0.44229323306979801     
   284.00000000000000       0.39432873655241252       0.17721856651726001       0.44941834081550602     
   285.00000000000000       0.39542485692477675       0.18053535499575285       0.45656046106908454     
   286.00000000000000       0.39644633443492322       0.18384043811078796       0.46372086747333874     
   287.00000000000000       0.39739814014974773       0.18713507863649001       0.47090074091935530     
   288.00000000000000       0.39828484856765378       0.19042045543263889       0.47810117838387600     
   289.00000000000000       0.39911067706342956       0.19369767123300538       0.48532320071763335     
   290.00000000000000       0.39987952057501075       0.19696775953260548       0.49256775953260551     
   291.00000000000000       0.40059478842217477       0.20023169069782235       0.49983598510224303     
   292.00000000000000       0.40125886979738273       0.20349037740370926       0.50712991716908973     
   293.00000000000000       0.40187377271298247       0.20674467948665823       0.51445178442713380     
   294.00000000000000       0.40244134200984716       0.20999540828729404       0.52180376707459586     
   295.00000000000000       0.40296327630436046       0.21324333054740099       0.52918800071085659     
   296.00000000000000       0.40344114300501788       0.21648917191547179       0.53660657984200477     
   297.00000000000000       0.40387639164759925       0.21973362010775760       0.54406156104188752     
   298.00000000000000       0.40427036576152192       0.22297732776520895       0.55155496580905150     
   299.00000000000000       0.40462431344954569       0.22622091504123071       0.55908878315449806     
   300.00000000000000       0.40493939683740443       0.22946497195053389       0.56666497195053389     
   301.00000000000000       0.40521693130780090       0.23271006050543250       0.57428513599957898     
   302.00000000000000       0.40545906218108713       0.23595671666256837       0.58194954477841909     
   303.00000000000000       0.40566803956384107       0.23920545210017238       0.58965811641793875     
   304.00000000000000       0.40584599005985622       0.24245675584350232       0.59741074639604930     
   305.00000000000000       0.40599492453103003       0.24571109575397015       0.60520730902681652     
   306.00000000000000       0.40611674526582381       0.24896891989563555       0.61304765882695356     
   307.00000000000000       0.40621325261114011       0.25223065779115272       0.62093163177176824     
   308.00000000000000       0.40628615111713262       0.25549672157787606       0.62885904645126867     
   309.00000000000000       0.40633705523895908       0.25876750707362928       0.63682970513593218     
   310.00000000000000       0.40636749463469296       0.26204339476059219       0.64484339476059227     
   311.00000000000000       0.40637900220024498       0.26532475069484135       0.65289975431383496     
   312.00000000000000       0.40637335982315798       0.26861192734827699       0.66099787511949404     
   313.00000000000000       0.40635233952070032       0.27190526438896079       0.66913670217742016     
   314.00000000000000       0.40631762323028064       0.27520508940526439       0.67731516840777495     
   315.00000000000000       0.40627080752511430       0.27851171857868107       0.68553219532384047     
   316.00000000000000       0.40621340807762074       0.28182545730966302       0.69378669365785872     
   317.00000000000000       0.40614686388587551       0.28514660080042192       0.70207756394383036     
   318.00000000000000       0.40607254127724257       0.28847543459823749       0.71040369706082473     
   319.00000000000000       0.40599173770227365       0.29181223510249055       0.71876397474001186     
   320.00000000000000       0.40590568533099736       0.29515727003832237       0.72715727003832242     
   321.00000000000000       0.40581530005096222       0.29851079889956028       0.73558290892943989     
   322.00000000000000       0.40572044506685501       0.30187307336329972       0.74404205416258173     
